"Time","cattle-fleet-local-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-17 16:00:00,0,37400,5731,0,27918,0,0,0,15882
2023-03-17 16:04:00,0,498544,229256,0,263349,0,0,0,15925
2023-03-17 16:08:00,0,36536,227823,0,31197,0,0,0,15452
2023-03-17 16:12:00,0,32343,233731,0,28547,0,0,0,16042
2023-03-17 16:16:00,0,34188,220670,0,63767,0,0,0,16473
2023-03-17 16:20:00,0,33556,5902,0,30193,0,0,0,16013
2023-03-17 16:24:00,0,33553,227807,0,26223,0,0,0,16018
2023-03-17 16:28:00,0,34300,225182,0,31717,0,0,0,15546
2023-03-17 16:32:00,0,36536,232628,0,61257,0,0,0,16266
2023-03-17 16:36:00,0,35067,223532,0,26789,0,0,0,16756
2023-03-17 16:40:00,0,32681,5865,0,28522,0,0,0,15591
2023-03-17 16:44:00,0,36481,230780,0,30608,0,0,0,15572
2023-03-17 16:48:00,0,33046,226771,0,27050,0,0,0,16242
2023-03-17 16:52:00,0,34536,232189,0,29923,0,0,0,15735
2023-03-17 16:56:00,0,32863,224855,0,27909,0,0,0,16548
2023-03-17 17:00:00,0,37607,5997,0,31688,0,0,0,15528
2023-03-17 17:04:00,0,236246,226978,0,95979,0,0,0,15572
2023-03-17 17:08:00,0,35314,224477,0,30338,0,0,0,16301
2023-03-17 17:12:00,0,35431,226609,0,28026,0,0,0,15885
2023-03-17 17:16:00,0,37310,223545,0,31100,0,0,0,16247
2023-03-17 17:20:00,0,32847,5966,0,29755,0,0,0,16219
2023-03-17 17:24:00,0,36762,229742,0,28895,0,0,0,15502
2023-03-17 17:28:00,0,34285,233821,0,29512,0,0,0,16452
2023-03-17 17:32:00,0,35116,224159,0,64176,0,0,0,16133
2023-03-17 17:36:00,0,37001,224034,0,27953,0,0,0,15813
2023-03-17 17:40:00,0,34230,5963,0,26886,0,0,0,16429
2023-03-17 17:44:00,0,37101,228392,0,64447,0,0,0,15651
2023-03-17 17:48:00,0,36035,225957,0,31773,0,0,0,16531
2023-03-17 17:52:00,0,33925,233816,0,26860,0,0,0,16038
2023-03-17 17:56:00,0,36112,215864,0,30830,0,0,0,15982
2023-03-17 18:00:00,0,35693,6103,0,26653,0,0,0,16427
2023-03-17 18:04:00,0,1489523,226492,0,923511,0,0,0,15486
2023-03-17 18:08:00,0,36195,230344,0,30959,0,0,0,16031
2023-03-17 18:12:00,0,33836,223662,0,26117,0,0,0,16157
2023-03-17 18:16:00,0,34281,208330,0,31232,0,0,0,15819
2023-03-17 18:20:00,0,33708,22127,0,65416,0,0,0,16518
2023-03-17 18:24:00,0,33380,231894,0,26636,0,0,0,15413
2023-03-17 18:28:00,0,34412,226363,0,30552,0,0,0,15860
2023-03-17 18:32:00,0,33400,231686,0,61934,0,0,0,16367
2023-03-17 18:36:00,0,33675,222239,0,29718,0,0,0,16027
