"Time","192.168.0.211:10250 pod","192.168.0.221:10250 pod","192.168.0.222:10250 pod","192.168.0.211:10250 worker","192.168.0.221:10250 worker","192.168.0.222:10250 worker"
2023-03-14 13:44:00,0,0,0,0.433,0.400,0.400
2023-03-14 13:48:00,0,0,0,0.438,0.383,0.396
2023-03-14 13:52:00,0,0,0,0.446,0.412,0.404
2023-03-14 13:56:00,0,0,0,0.438,0.396,0.392
2023-03-14 14:00:00,0,0,0,0.438,0.404,0.383
2023-03-14 14:04:00,0,0,0,0.442,0.379,0.404
2023-03-14 14:08:00,0,0,0,0.442,0.425,0.396
2023-03-14 14:12:00,0,0,0,0.421,0.396,0.396
2023-03-14 14:16:00,0,0,0,0.450,0.400,0.404
2023-03-14 14:20:00,0,0,0,0.442,0.388,0.392
2023-03-14 14:24:00,0,0,0,0.425,0.404,0.404
2023-03-14 14:28:00,0,0,0,0.438,0.400,0.400
2023-03-14 14:32:00,0,0,0,0.438,0.396,0.396
2023-03-14 14:36:00,0,0,0,0.433,0.400,0.392
2023-03-14 14:40:00,0,0,0,0.454,0.388,0.379
2023-03-14 14:44:00,0,0,0,0.446,0.400,0.400
2023-03-14 14:48:00,0,0,0,0.425,0.396,0.371
2023-03-14 14:52:00,0,0,0,0.442,0.396,0.404
2023-03-14 14:56:00,0,0,0,0.446,0.392,0.417
2023-03-14 15:00:00,0,0,0,0.438,0.413,0.396
2023-03-14 15:04:00,0,0,0,0.446,0.396,0.400
2023-03-14 15:08:00,0,0,0,0.421,0.400,0.392
2023-03-14 15:12:00,0,0,0,0.438,0.392,0.408
2023-03-14 15:16:00,0,0,0,0.446,0.396,0.396
2023-03-14 15:20:00,0,0,0,0.425,0.400,0.388
2023-03-14 15:24:00,0,0,0,0.446,0.417,0.396
2023-03-14 15:28:00,0,0,0,0.438,0.392,0.392
2023-03-14 15:32:00,0,0,0,0.458,0.388,0.400
2023-03-14 15:36:00,0,0,0,0.417,0.388,0.408
2023-03-14 15:40:00,0,0,0,0.438,0.392,0.388
2023-03-14 15:44:00,0,0,0,0.433,0.413,0.400
2023-03-14 15:48:00,0,0,0,0.438,0.400,0.400
2023-03-14 15:52:00,0,0,0,0.433,0.388,0.388
2023-03-14 15:56:00,0,0,0,0.425,0.396,0.408
2023-03-14 16:00:00,0,0,0,0.446,0.408,0.392
2023-03-14 16:04:00,0,0,0,0.429,0.396,0.388
2023-03-14 16:08:00,0,0,0,0.438,0.396,0.404
2023-03-14 16:12:00,0,0,0,0.463,0.421,0.408
2023-03-14 16:16:00,0,0,0,0.438,0.383,0.408
2023-03-14 16:20:00,0,0,0,0.438,0.379,0.383
2023-03-14 16:24:00,0,0,0,0.429,0.404,0.400
2023-03-14 16:28:00,0,0,0,0.442,0.417,0.392
