"Time","failure","success","failure","success","failure","success"
2023-03-22 07:50:00,,0.0000481,,0.0000385,,0.0000387
2023-03-22 07:52:00,,0.0000491,,0.0000399,,0.0000447
2023-03-22 07:54:00,,0.0000375,,0.0000539,,0.0000437
2023-03-22 07:56:00,,0.0000379,,0.0000353,,0.0000419
2023-03-22 07:58:00,,0.0000518,,0.0000545,,0.0000414
2023-03-22 08:00:00,,0.0000374,,0.0000373,,0.0000497
2023-03-22 08:02:00,,0.0000497,,0.0000485,,0.0000371
2023-03-22 08:04:00,,0.0000450,,0.0000523,,0.0000486
2023-03-22 08:06:00,,0.0000368,,0.0000355,,0.0000442
2023-03-22 08:08:00,,0.0000453,,0.0000377,,0.0000357
2023-03-22 08:10:00,,0.0000444,,0.0000467,,0.0000453
2023-03-22 08:12:00,,0.0000390,,0.0000485,,0.0000428
2023-03-22 08:14:00,,0.0000379,,0.0000464,,0.0000445
2023-03-22 08:16:00,,0.0000453,,0.0000352,,0.0000370
2023-03-22 08:18:00,,0.0000386,,0.0000378,,0.0000370
2023-03-22 08:20:00,,0.0000459,,0.0000481,,0.0000449
2023-03-22 08:22:00,,0.0000401,,0.0000492,,0.0000366
2023-03-22 08:24:00,,0.0000387,,0.0000351,,0.0000422
2023-03-22 08:26:00,,0.0000460,,0.0000467,,0.0000448
2023-03-22 08:28:00,,0.0000380,,0.0000464,,0.0000385
2023-03-22 08:30:00,,0.0000450,,0.0000523,,0.0000530
2023-03-22 08:32:00,,0.0000388,,0.0000476,,0.0000425
2023-03-22 08:34:00,,0.0000384,,0.0000457,,0.0000433
2023-03-22 08:36:00,,0.0000433,,0.0000433,,0.0000375
2023-03-22 08:38:00,,0.0000390,,0.0000569,,0.0000439
2023-03-22 08:40:00,,0.0000369,,0.0000474,,0.0000523
2023-03-22 08:42:00,,0.0000497,,0.0000370,,0.0000357
2023-03-22 08:44:00,,0.0000368,,0.0000455,,0.0000358
2023-03-22 08:46:00,,0.0000454,,0.0000447,,0.0000433
2023-03-22 08:48:00,,0.0000377,,0.0000378,,0.0000441
2023-03-22 08:50:00,,0.0000474,,0.0000356,,0.0000353
2023-03-22 08:52:00,,0.0000392,,0.0000470,,0.0000413
2023-03-22 08:54:00,,0.0000386,,0.0000361,,0.0000348
2023-03-22 08:56:00,,0.0000465,,0.0000455,,0.0000368
2023-03-22 08:58:00,,0.0000421,,0.0000499,,0.0000381
2023-03-22 09:00:00,,0.0000379,,0.0000384,,0.0000382
2023-03-22 09:02:00,,0.0000498,,0.0000572,,0.0000373
2023-03-22 09:04:00,,0.0000375,,0.0000474,,0.0000347
2023-03-22 09:06:00,,0.0000363,,0.0000457,,0.0000431
2023-03-22 09:08:00,,0.0000479,,0.0000383,,0.0000434
2023-03-22 09:10:00,,0.0000475,,0.0000372,,0.0000498
2023-03-22 09:12:00,,0.0000507,,0.0000474,,0.0000438
2023-03-22 09:14:00,,0.0000368,,0.0000484,,0.0000353
2023-03-22 09:16:00,,0.0000386,,0.0000443,,0.0000387
2023-03-22 09:18:00,,0.0000378,,0.0000469,,0.0000366
2023-03-22 09:20:00,,0.0000479,,0.0000376,,0.0000450
2023-03-22 09:22:00,,0.0000501,,0.0000473,,0.0000365
2023-03-22 09:24:00,,0.0000446,,0.0000372,,0.0000423
2023-03-22 09:26:00,,0.0000370,,0.0000443,,0.0000378
2023-03-22 09:28:00,,0.0000387,,0.0000380,,0.0000510
2023-03-22 09:30:00,,0.0000466,,0.0000477,,0.0000348
2023-03-22 09:32:00,,0.0000431,,0.0000390,,0.0000390
2023-03-22 09:34:00,,0.0000480,,0.0000456,,0.0000365
2023-03-22 09:36:00,,0.0000437,,0.0000514,,0.0000422
2023-03-22 09:38:00,,0.0000488,,0.0000383,,0.0000363
2023-03-22 09:40:00,,0.0000469,,0.0000359,,0.0000366
2023-03-22 09:42:00,,0.0000482,,0.0000576,,0.0000536
2023-03-22 09:44:00,,0.0000370,,0.0000375,,0.0000364
